url,naslov,kraj,ime,vrsta,nadstropje,leto,velikost,cena,ponudnik,dan,mesec
/oglasi-oddaja/ajdovscina-poslovni-prostor_6197914/,AJDOVŠČINA,AJDOVŠČINA,AJDOVŠČINA,Poslovni prostor,1,1950,16.7,100.19999999999999,EURO NINE d.o.o.,1,1
/oglasi-oddaja/ajdovscina-poslovni-prostor_6191584/,AJDOVŠČINA,AJDOVŠČINA,AJDOVŠČINA,Poslovni prostor,,2000,27.4,340.0,Renes d.o.o.,1,1
/oglasi-oddaja/ajdovscina-poslovni-prostor_6196637/,AJDOVŠČINA,AJDOVŠČINA,AJDOVŠČINA,Poslovni prostor,,2004,80.0,1000.0,"Svet RE d.o.o., Enota Ajdovščina",1,1
/oglasi-oddaja/ajdovscina-avtobusna-postaja-poslovni-prostor_6138383/,"AJDOVŠČINA, AVTOBUSNA POSTAJA",AJDOVŠČINA,"AJDOVŠČINA, AVTOBUSNA POSTAJA",Poslovni prostor,P,2000,54.0,420.0,Gaberit nepremičnine Matija Ceket s.p.,1,1
/oglasi-oddaja/ajdovscina-c2-poslovni-prostor_6095959/,"AJDOVŠČINA, C2",AJDOVŠČINA,"AJDOVŠČINA, C2",Poslovni prostor,1,1990,25.0,250.0,"Svet RE d.o.o., Enota Ajdovščina",1,1
/oglasi-oddaja/ajdovscina-c2-poslovni-prostor_6076353/,"AJDOVŠČINA, C2",AJDOVŠČINA,"AJDOVŠČINA, C2",Poslovni prostor,P,1990,38.0,300.0,"Svet RE d.o.o., Enota Ajdovščina",1,1
/oglasi-oddaja/ajdovscina-c2-poslovni-prostor_6058604/,"AJDOVŠČINA, C2",AJDOVŠČINA,"AJDOVŠČINA, C2",Poslovni prostor,P,1990,43.5,350.0,"Svet RE d.o.o., Enota Ajdovščina",1,1
/oglasi-oddaja/ajdovscina-c2-poslovni-prostor_6028717/,"AJDOVŠČINA, C2",AJDOVŠČINA,"AJDOVŠČINA, C2",Poslovni prostor,,1991,55.0,550.0,"Svet RE d.o.o., Enota Ajdovščina",1,1
/oglasi-oddaja/ajdovscina-c3-poslovni-prostor_6176999/,"AJDOVŠČINA, C3",AJDOVŠČINA,"AJDOVŠČINA, C3",Poslovni prostor,P,1990,20.0,190.0,Zasebna ponudba,1,1
/oglasi-oddaja/ajdovscina-c3-poslovni-prostor_6149423/,"AJDOVŠČINA, C3",AJDOVŠČINA,"AJDOVŠČINA, C3",Poslovni prostor,P,2000,56.0,350.0,"Svet RE d.o.o., Enota Ajdovščina",1,1
/oglasi-oddaja/ajdovscina-center-poslovni-prostor_5791730/,"AJDOVŠČINA, CENTER",AJDOVŠČINA,"AJDOVŠČINA, CENTER",Poslovni prostor,1,1990,20.0,300.0,"Svet RE d.o.o., Enota Ajdovščina",1,1
/oglasi-oddaja/ajdovscina-center-poslovni-prostor_6164418/,"AJDOVŠČINA, CENTER",AJDOVŠČINA,"AJDOVŠČINA, CENTER",Poslovni prostor,P,1972,73.0,600.0,"Svet RE d.o.o., Enota Ajdovščina",1,1
/oglasi-oddaja/ajdovscina-center-poslovni-prostor_5988704/,"AJDOVŠČINA, CENTER",AJDOVŠČINA,"AJDOVŠČINA, CENTER",Poslovni prostor,,2000,115.0,600.0,"Svet RE d.o.o., Enota Ajdovščina",1,1
/oglasi-oddaja/ajdovscina-poslovni-kompleks-c2-poslovni-prostor_6161322/,"AJDOVŠČINA, POSLOVNI KOMPLEKS C2",AJDOVŠČINA,"AJDOVŠČINA, POSLOVNI KOMPLEKS C2",Poslovni prostor,P,1990,35.0,300.0,Zasebna ponudba,1,1
